period,group,name,value
2019-06-30,investor_type,Other international,2719.841
2019-06-30,investor_type,Total,301564.8795
2019-09-30,investor_type,Reserve Bank of Australia,NA
2019-09-30,investor_type,Interbank,83693.222
2019-09-30,investor_type,Bank balance sheet,24284.916
2019-09-30,investor_type,Other domestic,61865.267
2019-09-30,investor_type,Japan,14502.347
2019-09-30,investor_type,Asia (ex Japan),32947.494
2019-09-30,investor_type,UK,29354.463
2019-09-30,investor_type,Europe,26821.467
2019-09-30,investor_type,Americas,32943.547
2019-09-30,investor_type,Other international,2374.421
2019-09-30,investor_type,Total,308787.144
2019-12-31,investor_type,Reserve Bank of Australia,NA
2019-12-31,investor_type,Interbank,99970.2115
2019-12-31,investor_type,Bank balance sheet,29173.856
2019-12-31,investor_type,Other domestic,63210.622
2019-12-31,investor_type,Japan,10098.631
2019-12-31,investor_type,Asia (ex Japan),31369.195
2019-12-31,investor_type,UK,22959.881
2019-12-31,investor_type,Europe,26046.429
2019-12-31,investor_type,Americas,32244.303
2019-12-31,investor_type,Other international,6215.384
2019-12-31,investor_type,Total,321288.5125
2020-03-31,investor_type,Reserve Bank of Australia,21627.5
2020-03-31,investor_type,Interbank,139610.0155
2020-03-31,investor_type,Bank balance sheet,34544.66
2020-03-31,investor_type,Other domestic,80141.748
2020-03-31,investor_type,Japan,13806.144
2020-03-31,investor_type,Asia (ex Japan),68097.189
2020-03-31,investor_type,UK,45017.197
2020-03-31,investor_type,Europe,28123.482
2020-03-31,investor_type,Americas,39883.825
2020-03-31,investor_type,Other international,5582.153
2020-03-31,investor_type,Total,476433.9135
2020-06-30,investor_type,Reserve Bank of Australia,25362.332
2020-06-30,investor_type,Interbank,118715.8335
2020-06-30,investor_type,Bank balance sheet,31880.25
2020-06-30,investor_type,Other domestic,78553.843
2020-06-30,investor_type,Japan,16671.398
2020-06-30,investor_type,Asia (ex Japan),59232.115
2020-06-30,investor_type,UK,45453.867
2020-06-30,investor_type,Europe,24405.635
2020-06-30,investor_type,Americas,33459.811
2020-06-30,investor_type,Other international,4610.017
2020-06-30,investor_type,Total,438345.1015
2020-09-30,investor_type,Reserve Bank of Australia,12258.55
2020-09-30,investor_type,Interbank,144600.8995
2020-09-30,investor_type,Bank balance sheet,53969.958
2020-09-30,investor_type,Other domestic,83370.608
2020-09-30,investor_type,Japan,14660.532
2020-09-30,investor_type,Asia (ex Japan),59727.86
2020-09-30,investor_type,UK,60651.868
2020-09-30,investor_type,Europe,28558.862
2020-09-30,investor_type,Americas,41054.978
2020-09-30,investor_type,Other international,5019.108
2020-09-30,investor_type,Total,503873.2235
2020-12-31,investor_type,Reserve Bank of Australia,35218
2020-12-31,investor_type,Interbank,123047.632
2020-12-31,investor_type,Bank balance sheet,31483.223
2020-12-31,investor_type,Other domestic,86381.56
2020-12-31,investor_type,Japan,19949.918
2020-12-31,investor_type,Asia (ex Japan),67769.206
2020-12-31,investor_type,UK,77975.109
2020-12-31,investor_type,Europe,30964.368
2020-12-31,investor_type,Americas,47907.913
2020-12-31,investor_type,Other international,8760.187
2020-12-31,investor_type,Total,529457.116
2021-03-31,investor_type,Reserve Bank of Australia,51923
2021-03-31,investor_type,Interbank,134814.011
2021-03-31,investor_type,Bank balance sheet,30452.471
2021-03-31,investor_type,Other domestic,78931.258
2021-03-31,investor_type,Japan,29391.041
2021-03-31,investor_type,Asia (ex Japan),97284.311
2021-03-31,investor_type,UK,83850.422
2021-03-31,investor_type,Europe,27731.62
2021-03-31,investor_type,Americas,50946.044
2021-03-31,investor_type,Other international,4279.148
2021-03-31,investor_type,Total,589603.326
2021-06-30,investor_type,Reserve Bank of Australia,45426
2021-06-30,investor_type,Interbank,102657.8795
2021-06-30,investor_type,Bank balance sheet,31749.758
2021-06-30,investor_type,Other domestic,68889.021
2021-06-30,investor_type,Japan,19766.286
2021-06-30,investor_type,Asia (ex Japan),104855.628
2021-06-30,investor_type,UK,51911.473
2021-06-30,investor_type,Europe,22893.106
2021-06-30,investor_type,Americas,31456.177
2021-06-30,investor_type,Other international,5912.18
2021-06-30,investor_type,Total,485517.5085
2021-09-30,investor_type,Reserve Bank of Australia,49326
2021-09-30,investor_type,Interbank,62200.0095
2021-09-30,investor_type,Bank balance sheet,19521.351
2021-09-30,investor_type,Other domestic,48379.491
2021-09-30,investor_type,Japan,14484.099
2021-09-30,investor_type,Asia (ex Japan),110739.266
2021-09-30,investor_type,UK,36431.417
2021-09-30,investor_type,Europe,24158.276
2021-09-30,investor_type,Americas,22672.332
2021-09-30,investor_type,Other international,2426.96
2021-09-30,investor_type,Total,390339.2015
2021-12-31,investor_type,Reserve Bank of Australia,37550
2021-12-31,investor_type,Interbank,81889.635
2021-12-31,investor_type,Bank balance sheet,36697.198
2021-12-31,investor_type,Other domestic,49207.356
2021-12-31,investor_type,Japan,21487.738
2021-12-31,investor_type,Asia (ex Japan),93696.487
2021-12-31,investor_type,UK,41688.41
2021-12-31,investor_type,Europe,30589.004
2021-12-31,investor_type,Americas,25797.61
2021-12-31,investor_type,Other international,4733.39
2021-12-31,investor_type,Total,423336.828
2022-03-31,investor_type,Reserve Bank of Australia,16139
2022-03-31,investor_type,Interbank,86788.442
2022-03-31,investor_type,Bank balance sheet,14838.239
2022-03-31,investor_type,Other domestic,42151.496
2022-03-31,investor_type,Japan,19192.352
2022-03-31,investor_type,Asia (ex Japan),71068.79
2022-03-31,investor_type,UK,39173.442
2022-03-31,investor_type,Europe,24223.77
2022-03-31,investor_type,Americas,22214.518
2022-03-31,investor_type,Other international,4748.439
2022-03-31,investor_type,Total,340538.488
2022-06-30,investor_type,Reserve Bank of Australia,0
2022-06-30,investor_type,Interbank,113026.112
2022-06-30,investor_type,Bank balance sheet,27254.571
2022-06-30,investor_type,Other domestic,74475.401
2022-06-30,investor_type,Japan,25225.162
2022-06-30,investor_type,Asia (ex Japan),65013.774
2022-06-30,investor_type,UK,45146.526
2022-06-30,investor_type,Europe,23827.559
2022-06-30,investor_type,Americas,31149.393
2022-06-30,investor_type,Other international,6793.622
2022-06-30,investor_type,Total,411912.12
2022-09-30,investor_type,Reserve Bank of Australia,0
2022-09-30,investor_type,Interbank,109985.341
2022-09-30,investor_type,Bank balance sheet,17189.803
2022-09-30,investor_type,Other domestic,56186.144
2022-09-30,investor_type,Japan,16976.976
2022-09-30,investor_type,Asia (ex Japan),54469.589
2022-09-30,investor_type,UK,40496.932
2022-09-30,investor_type,Europe,16258.097
2022-09-30,investor_type,Americas,21187.315
2022-09-30,investor_type,Other international,2730.437
2022-09-30,investor_type,Total,335480.634
2022-12-31,investor_type,Reserve Bank of Australia,0
2022-12-31,investor_type,Interbank,100197.873
2022-12-31,investor_type,Bank balance sheet,19397.455
2022-12-31,investor_type,Other domestic,43913.782
2022-12-31,investor_type,Japan,13284.43
2022-12-31,investor_type,Asia (ex Japan),45005.01
2022-12-31,investor_type,UK,39095.734
2022-12-31,investor_type,Europe,21645.678
2022-12-31,investor_type,Americas,19811.999
2022-12-31,investor_type,Other international,5273.099
2022-12-31,investor_type,Total,307625.06
2023-03-31,investor_type,Reserve Bank of Australia,0
2023-03-31,investor_type,Interbank,122948.8265
2023-03-31,investor_type,Bank balance sheet,22611.408
2023-03-31,investor_type,Other domestic,40086.829
2023-03-31,investor_type,Japan,12452.813
2023-03-31,investor_type,Asia (ex Japan),48889.597
2023-03-31,investor_type,UK,38985.264
2023-03-31,investor_type,Europe,24489.539
2023-03-31,investor_type,Americas,21913.435
2023-03-31,investor_type,Other international,2310.668
2023-03-31,investor_type,Total,334688.3795
2023-06-30,investor_type,Reserve Bank of Australia,0
2023-06-30,investor_type,Interbank,108372.407
2023-06-30,investor_type,Bank balance sheet,19682.692
2023-06-30,investor_type,Other domestic,59298.722
2023-06-30,investor_type,Japan,14072.582
2023-06-30,investor_type,Asia (ex Japan),50894.636
2023-06-30,investor_type,UK,42246
2023-06-30,investor_type,Europe,28836.296
2023-06-30,investor_type,Americas,28320.364
2023-06-30,investor_type,Other international,3614.121
2023-06-30,investor_type,Total,355337.82
