period,group,name,value
2018-07-31,tenor,5-9 years,15326.4845
2018-07-31,tenor,9-12 years,26004.9735
2018-07-31,tenor,12+ years,7469.4005
2018-07-31,tenor,Total,87266.445
2018-08-31,tenor,0-2 years,11463.7105
2018-08-31,tenor,2-5 years,27061.4855
2018-08-31,tenor,5-9 years,16321.551
2018-08-31,tenor,9-12 years,23254.776
2018-08-31,tenor,12+ years,4615.2905
2018-08-31,tenor,Total,82716.8135
2018-09-30,tenor,0-2 years,21569.517
2018-09-30,tenor,2-5 years,40321.429
2018-09-30,tenor,5-9 years,23884.907
2018-09-30,tenor,9-12 years,44649.003
2018-09-30,tenor,12+ years,7003.694
2018-09-30,tenor,Total,137428.55
2018-10-31,tenor,0-2 years,22640.7255
2018-10-31,tenor,2-5 years,31519.434
2018-10-31,tenor,5-9 years,19095.456
2018-10-31,tenor,9-12 years,27398.974
2018-10-31,tenor,12+ years,5013.676
2018-10-31,tenor,Total,105668.2655
2018-11-30,tenor,0-2 years,16192.1855
2018-11-30,tenor,2-5 years,22464.1015
2018-11-30,tenor,5-9 years,17766.464
2018-11-30,tenor,9-12 years,28409.81
2018-11-30,tenor,12+ years,6275.0595
2018-11-30,tenor,Total,91107.6205
2018-12-31,tenor,0-2 years,15861.0005
2018-12-31,tenor,2-5 years,28876.168
2018-12-31,tenor,5-9 years,19006.878
2018-12-31,tenor,9-12 years,22309.2205
2018-12-31,tenor,12+ years,4061.9665
2018-12-31,tenor,Total,90115.2335
2019-01-31,tenor,0-2 years,22285.9375
2019-01-31,tenor,2-5 years,40211.506
2019-01-31,tenor,5-9 years,34028.358
2019-01-31,tenor,9-12 years,32567.168
2019-01-31,tenor,12+ years,4241.5225
2019-01-31,tenor,Total,133334.492
2019-02-28,tenor,0-2 years,16115.7215
2019-02-28,tenor,2-5 years,26671.1635
2019-02-28,tenor,5-9 years,35320.487
2019-02-28,tenor,9-12 years,31215.071
2019-02-28,tenor,12+ years,5642.2145
2019-02-28,tenor,Total,114964.6575
2019-03-31,tenor,0-2 years,22145.221
2019-03-31,tenor,2-5 years,40876.8555
2019-03-31,tenor,5-9 years,27911.9755
2019-03-31,tenor,9-12 years,54699.0065
2019-03-31,tenor,12+ years,9670.517
2019-03-31,tenor,Total,155303.5755
2019-04-30,tenor,0-2 years,18234.447
2019-04-30,tenor,2-5 years,32751.3665
2019-04-30,tenor,5-9 years,23897.599
2019-04-30,tenor,9-12 years,28384.4945
2019-04-30,tenor,12+ years,4955.146
2019-04-30,tenor,Total,108223.053
2019-05-31,tenor,0-2 years,22216.433
2019-05-31,tenor,2-5 years,29451.165
2019-05-31,tenor,5-9 years,24588.089
2019-05-31,tenor,9-12 years,26583.516
2019-05-31,tenor,12+ years,7533.515
2019-05-31,tenor,Total,110372.718
2019-06-30,tenor,0-2 years,14798.0445
2019-06-30,tenor,2-5 years,23771.1935
2019-06-30,tenor,5-9 years,14440.0485
2019-06-30,tenor,9-12 years,22966.9
2019-06-30,tenor,12+ years,6992.922
2019-06-30,tenor,Total,82969.1085
2019-07-31,tenor,0-2 years,15672.933
2019-07-31,tenor,2-5 years,18356.2305
2019-07-31,tenor,5-9 years,23199.924
2019-07-31,tenor,9-12 years,32042.3525
2019-07-31,tenor,12+ years,5513.0045
2019-07-31,tenor,Total,94784.4445
2019-08-31,tenor,0-2 years,12939.189
2019-08-31,tenor,2-5 years,21219.417
2019-08-31,tenor,5-9 years,20708.726
2019-08-31,tenor,9-12 years,25808.63
2019-08-31,tenor,12+ years,8481.536
2019-08-31,tenor,Total,89157.498
2019-09-30,tenor,0-2 years,16961.084
2019-09-30,tenor,2-5 years,28365.5375
2019-09-30,tenor,5-9 years,24929.2255
2019-09-30,tenor,9-12 years,47584.597
2019-09-30,tenor,12+ years,7004.7575
2019-09-30,tenor,Total,124845.2015
2019-10-31,tenor,0-2 years,20932.68
2019-10-31,tenor,2-5 years,27898.696
2019-10-31,tenor,5-9 years,20916.355
2019-10-31,tenor,9-12 years,30018.2675
2019-10-31,tenor,12+ years,7423.937
2019-10-31,tenor,Total,107189.9355
2019-11-30,tenor,0-2 years,16537.056
2019-11-30,tenor,2-5 years,31592.972
2019-11-30,tenor,5-9 years,29389.4885
2019-11-30,tenor,9-12 years,25768.525
2019-11-30,tenor,12+ years,7406.6635
2019-11-30,tenor,Total,110694.705
2019-12-31,tenor,0-2 years,20094.9465
2019-12-31,tenor,2-5 years,28548.05
2019-12-31,tenor,5-9 years,21457.602
2019-12-31,tenor,9-12 years,29165.114
2019-12-31,tenor,12+ years,4138.1595
2019-12-31,tenor,Total,103403.872
2020-01-31,tenor,0-2 years,23194.583
2020-01-31,tenor,2-5 years,28713.5365
2020-01-31,tenor,5-9 years,42878.9595
2020-01-31,tenor,9-12 years,38088.781
2020-01-31,tenor,12+ years,11848.939
2020-01-31,tenor,Total,144724.799
2020-02-29,tenor,0-2 years,13125.78
2020-02-29,tenor,2-5 years,34109.2265
2020-02-29,tenor,5-9 years,43568.5245
2020-02-29,tenor,9-12 years,33605.987
2020-02-29,tenor,12+ years,14018.921
2020-02-29,tenor,Total,138428.439
2020-03-31,tenor,0-2 years,24413.4205
2020-03-31,tenor,2-5 years,49274.703
2020-03-31,tenor,5-9 years,52742.55
2020-03-31,tenor,9-12 years,48847.418
2020-03-31,tenor,12+ years,18002.584
2020-03-31,tenor,Total,193280.6755
2020-04-30,tenor,0-2 years,16362.1705
2020-04-30,tenor,2-5 years,47431.8055
2020-04-30,tenor,5-9 years,35111.572
2020-04-30,tenor,9-12 years,26747.5905
2020-04-30,tenor,12+ years,14429.71
2020-04-30,tenor,Total,140082.8485
2020-05-31,tenor,0-2 years,12674.557
2020-05-31,tenor,2-5 years,47132.5195
2020-05-31,tenor,5-9 years,35817.861
2020-05-31,tenor,9-12 years,45909.551
2020-05-31,tenor,12+ years,13987.3375
2020-05-31,tenor,Total,155521.826
2020-06-30,tenor,0-2 years,13219.066
2020-06-30,tenor,2-5 years,35413.094
2020-06-30,tenor,5-9 years,34380.5135
2020-06-30,tenor,9-12 years,50657.477
2020-06-30,tenor,12+ years,9070.2765
2020-06-30,tenor,Total,142740.427
2020-07-31,tenor,0-2 years,8828.6145
2020-07-31,tenor,2-5 years,27560.747
2020-07-31,tenor,5-9 years,38804.3375
2020-07-31,tenor,9-12 years,36751.849
2020-07-31,tenor,12+ years,19353.669
2020-07-31,tenor,Total,131299.217
2020-08-31,tenor,0-2 years,12592.827
2020-08-31,tenor,2-5 years,56358.327
2020-08-31,tenor,5-9 years,41014.2005
2020-08-31,tenor,9-12 years,44715.8165
2020-08-31,tenor,12+ years,14714.4515
2020-08-31,tenor,Total,169395.6225
2020-09-30,tenor,0-2 years,9427.87
2020-09-30,tenor,2-5 years,58159.621
2020-09-30,tenor,5-9 years,62744.771
2020-09-30,tenor,9-12 years,57236.9335
2020-09-30,tenor,12+ years,15609.1885
2020-09-30,tenor,Total,203178.384
2020-10-31,tenor,0-2 years,8376.9465
2020-10-31,tenor,2-5 years,30437.3715
2020-10-31,tenor,5-9 years,56737.232
2020-10-31,tenor,9-12 years,48051.765
2020-10-31,tenor,12+ years,11842.3015
2020-10-31,tenor,Total,155445.6165
2020-11-30,tenor,0-2 years,12554.8735
2020-11-30,tenor,2-5 years,53990.037
2020-11-30,tenor,5-9 years,66126.012
2020-11-30,tenor,9-12 years,50531.4025
2020-11-30,tenor,12+ years,19757.801
2020-11-30,tenor,Total,202960.126
2020-12-31,tenor,0-2 years,13110.012
2020-12-31,tenor,2-5 years,42980.219
2020-12-31,tenor,5-9 years,48794.988
2020-12-31,tenor,9-12 years,51904.186
2020-12-31,tenor,12+ years,14261.9685
2020-12-31,tenor,Total,171051.3735
2021-01-31,tenor,0-2 years,8864.911
2021-01-31,tenor,2-5 years,26170.287
2021-01-31,tenor,5-9 years,64341.103
2021-01-31,tenor,9-12 years,43000.089
2021-01-31,tenor,12+ years,18604.491
2021-01-31,tenor,Total,160980.881
2021-02-28,tenor,0-2 years,15204.7435
2021-02-28,tenor,2-5 years,65781.764
2021-02-28,tenor,5-9 years,62763.809
2021-02-28,tenor,9-12 years,51837.671
2021-02-28,tenor,12+ years,17701.308
2021-02-28,tenor,Total,213289.2955
2021-03-31,tenor,0-2 years,9681.9525
2021-03-31,tenor,2-5 years,73838.677
2021-03-31,tenor,5-9 years,68114.6045
2021-03-31,tenor,9-12 years,49408.465
2021-03-31,tenor,12+ years,14289.4505
2021-03-31,tenor,Total,215333.1495
2021-04-30,tenor,0-2 years,11334.5625
2021-04-30,tenor,2-5 years,34311.126
2021-04-30,tenor,5-9 years,40573.5525
2021-04-30,tenor,9-12 years,52381.968
2021-04-30,tenor,12+ years,10276.1015
2021-04-30,tenor,Total,148877.3105
2021-05-31,tenor,0-2 years,16917.268
2021-05-31,tenor,2-5 years,44936.9375
2021-05-31,tenor,5-9 years,46480.633
2021-05-31,tenor,9-12 years,46978.7985
2021-05-31,tenor,12+ years,15319.268
2021-05-31,tenor,Total,170632.905
2021-06-30,tenor,0-2 years,8172.6475
2021-06-30,tenor,2-5 years,49352.867
2021-06-30,tenor,5-9 years,48788.221
2021-06-30,tenor,9-12 years,40847.264
2021-06-30,tenor,12+ years,18846.2935
2021-06-30,tenor,Total,166007.293
2021-07-31,tenor,0-2 years,8450.427
2021-07-31,tenor,2-5 years,42719.38
