Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Short-Term AGS Held by Non-Resident Holdings,date,value
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1167523200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1175299200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1183161600,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1191110400,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1199059200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1206921600,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1214784000,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1222732800,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1230681600,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1238457600,7.1135489127310506E-2
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1246320000,8.4817210870144696E-2
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1254268800,0.116989355397806
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1262217600,0.205042278798797
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1269993600,0.25793145917995602
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1277856000,0.50175685387022595
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1285804800,0.45913019056002202
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1293753600,0.53474683010705903
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1301529600,0.66404745629499096
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1309392000,0.70132302377410405
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1317340800,0.50850314005146402
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1325289600,0.53176384157731105
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1333152000,0.36003699350964902
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1341014400,0.48657940105024
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1348963200,0.35035479433225603
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1356912000,0.32624768904037199
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1364688000,0.39921228103373602
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1372550400,0.37628393132028798
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1380499200,0.40940085154482098
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1388448000,0.41792035630930802
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1396224000,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1404086400,0.18745080452187801
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1412035200,0.112178085037189
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1419984000,6.2106970333824098E-2
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1427760000,0.15000361740815199
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1435622400,0.21562577574049299
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1443571200,0.37541590850909501
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1451520000,0.39207643231719502
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1459382400,0.31692571496571897
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1467244800,0.20678870299500199
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1475193600,0.25148129723346102
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1483142400,0.43871907750872602
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1490918400,0.32946416827579
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1498780800,0.59636308850262698
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1506729600,0.487635240181368
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1514678400,0.44970264289787498
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1522454400,0.62608016711205805
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1530316800,0.606012988495783
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1538265600,0.38361626269965898
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1546214400,0.52915309813661005
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1553990400,0.45499431867333701
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1561852800,0.47406487161057898
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1569801600,0.34974142869379499
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1577750400,0.35353893047698398
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1585612800,0.30908578632227002
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1593475200,0.19570039277217699
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1601424000,0.28023492853215698
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1609372800,0.37546811317786699
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1617148800,0.49458905932485497
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1625011200,0.55339918834660995
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1632960000,0.69273143941288695
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1640908800,0.49291077289598001
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1648684800,0.21800579615878901
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1656547200,7.4862007284805701E-2
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1664496000,9.5806189664309593E-2
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1672444800,0.14329819725225301
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1680220800,0.17920722756100299
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1688083200,0.24171153345659599
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1056931200,-296000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1064880000,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1072828800,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1080691200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1088553600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1096502400,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1104451200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1112227200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1120089600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1128038400,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1135987200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1143763200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1151625600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1159574400,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1167523200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1175299200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1183161600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1191110400,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1199059200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1206921600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1214784000,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1222732800,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1230681600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1238457600,240000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1246320000,1165000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1254268800,-31000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1262217600,831000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1269993600,519000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1277856000,2724000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1285804800,2314000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1293753600,1687000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1301529600,-357000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1309392000,2053000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1317340800,-4056000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1325289600,-582000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1333152000,-1031000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1341014400,467000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1348963200,-485000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1356912000,1403000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1364688000,-235000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1372550400,-4699000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1380499200,528000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1388448000,1096000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1396224000,-3752000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1404086400,932000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1412035200,-100000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1419984000,-345000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1427760000,552000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1435622400,241000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1443571200,2074000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1451520000,-1221000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1459382400,-260000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1467244800,-868000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1475193600,95000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1483142400,399000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1490918400,-220000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1498780800,762000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1506729600,103000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1514678400,-625000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1522454400,613000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1530316800,-682000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1538265600,17000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1546214400,47000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1553990400,229000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1561852800,-402000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1569801600,2245000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1577750400,2039000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1585612800,843000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1593475200,4926000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1601424000,6428000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1609372800,-384000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1617148800,-739000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1625011200,-1736000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1632960000,4871000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1640908800,-2700000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1648684800,-10931000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1656547200,-4266000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1664496000,470000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1672444800,1527000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1680220800,1432000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",1688083200,822000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1056931200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1064880000,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1072828800,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1080691200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1088553600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1096502400,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1104451200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1112227200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1120089600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1128038400,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1135987200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1143763200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1151625600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1159574400,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1167523200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1175299200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1183161600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1191110400,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1199059200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1206921600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1214784000,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1222732800,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1230681600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1238457600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1246320000,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1254268800,10000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1262217600,7000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1269993600,2000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1277856000,2000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1285804800,12000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1293753600,33000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1301529600,12000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1309392000,12000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1317340800,8000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1325289600,-1000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1333152000,10999999.999999899
