Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,Coupon (%),date,value
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-11-30,-2150560938
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-12-31,-2180927999
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-01-31,-2190996512
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-02-28,-2166674624
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-03-31,-2170548595
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-04-30,-2158775761
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-05-31,-2147671089
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-06-30,-2159706351
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-07-31,-2173233906
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-08-31,-2174054318
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-09-30,-2188660811
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-10-31,-2189574504
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-11-30,-2168405622
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-12-31,-2165216807
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-01-31,-2177919870
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-02-28,-2173334768
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-03-31,-2170353419
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-04-30,-2170937667
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-05-31,-2146718066
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-06-30,-2145942671
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-07-31,-2160731731
