Identified/Not Identified by Country of Beneficial Ownership,Region of Beneficial Ownership,Sub-Region of Beneficial Ownership,date,value
Reported,Asia,North Asia,2020-05-31,24345608000
Reported,Asia,North Asia,2020-06-30,25317802000
Reported,Asia,North Asia,2020-07-31,30558475000
Reported,Asia,North Asia,2020-08-31,34403031000
Reported,Asia,North Asia,2020-09-30,24109435000
Reported,Asia,North Asia,2020-10-31,23726221000
Reported,Asia,North Asia,2020-11-30,22330036000
Reported,Asia,North Asia,2020-12-31,21168825000
Reported,Asia,North Asia,2021-01-31,20644026000
Reported,Asia,North Asia,2021-02-28,18626974000
Reported,Asia,North Asia,2021-03-31,16575450000
Reported,Asia,North Asia,2021-04-30,17088450000
Reported,Asia,North Asia,2021-05-31,17286450000
Reported,Asia,North Asia,2021-06-30,16307194000
Reported,Asia,North Asia,2021-07-31,16960194000
Reported,Asia,North Asia,2021-08-31,17275276000
Reported,Asia,North Asia,2021-09-30,16438776000
Reported,Asia,North Asia,2021-10-31,15655333000
Reported,Asia,North Asia,2021-11-30,14662933000
Reported,Asia,North Asia,2021-12-31,13956433000
Reported,Asia,North Asia,2022-01-31,13182359000
Reported,Asia,North Asia,2022-02-28,9268659000
Reported,Asia,North Asia,2022-03-31,9564467000
Reported,Asia,North Asia,2022-04-30,9424467000
Reported,Asia,North Asia,2022-05-31,9615467000
Reported,Asia,North Asia,2022-06-30,10186467000
Reported,Asia,North Asia,2022-07-31,9491288000
Reported,Asia,North Asia,2022-08-31,9670288000
Reported,Asia,North Asia,2022-09-30,9884944000
Reported,Asia,North Asia,2022-10-31,9784944000
Reported,Asia,North Asia,2022-11-30,10507790000
Reported,Asia,North Asia,2022-12-31,9897945000
Reported,Asia,North Asia,2023-01-31,10170591000
Reported,Asia,North Asia,2023-02-28,11641742000
Reported,Asia,North Asia,2023-03-31,11866942000
Reported,Asia,North Asia,2023-04-30,12256942000
Reported,Asia,North Asia,2023-05-31,12048942000
Reported,Asia,North Asia,2023-06-30,12168942000
Reported,Asia,South and South East Asia,2009-12-31,3996805000
Reported,Asia,South and South East Asia,2010-01-31,3633610000
Reported,Asia,South and South East Asia,2010-02-28,3414805000
Reported,Asia,South and South East Asia,2010-03-31,4544805000
Reported,Asia,South and South East Asia,2010-04-30,4871915000
Reported,Asia,South and South East Asia,2010-05-31,4736605000
Reported,Asia,South and South East Asia,2010-06-30,4820355000
Reported,Asia,South and South East Asia,2010-07-30,5251057000
Reported,Asia,South and South East Asia,2010-08-31,6286805000
Reported,Asia,South and South East Asia,2010-09-30,6802570000
Reported,Asia,South and South East Asia,2010-10-31,7290805000
Reported,Asia,South and South East Asia,2010-11-30,7851805000
Reported,Asia,South and South East Asia,2010-12-31,8058805000
Reported,Asia,South and South East Asia,2011-01-31,8427805000
Reported,Asia,South and South East Asia,2011-02-28,8296880000
Reported,Asia,South and South East Asia,2011-03-31,8640555000
Reported,Asia,South and South East Asia,2011-04-29,8667555000
Reported,Asia,South and South East Asia,2011-05-31,9207855000
Reported,Asia,South and South East Asia,2011-06-30,8837405000
Reported,Asia,South and South East Asia,2011-07-29,15319405000
Reported,Asia,South and South East Asia,2011-08-31,14003905000
Reported,Asia,South and South East Asia,2011-09-30,15029005000
Reported,Asia,South and South East Asia,2011-10-31,17174405000
Reported,Asia,South and South East Asia,2011-11-30,19189805000
Reported,Asia,South and South East Asia,2011-12-30,21580805000
Reported,Asia,South and South East Asia,2012-01-31,21668805000
Reported,Asia,South and South East Asia,2012-02-29,23260805000
Reported,Asia,South and South East Asia,2012-03-30,22720805000
Reported,Asia,South and South East Asia,2012-04-30,22230465000
Reported,Asia,South and South East Asia,2012-05-31,22261305000
Reported,Asia,South and South East Asia,2012-06-29,22265305000
Reported,Asia,South and South East Asia,2012-07-31,21438305000
Reported,Asia,South and South East Asia,2012-08-31,20447305000
Reported,Asia,South and South East Asia,2012-09-28,20806605000
Reported,Asia,South and South East Asia,2012-10-31,20541105000
Reported,Asia,South and South East Asia,2012-11-30,19437105000
Reported,Asia,South and South East Asia,2012-12-31,19023105000
