date_held,tender_number_buyback_method,maturity,isin,date_settled,name,value
4053143-10-06,TBB3,4153916-04-06,AU3TB0000093,4053616-11-14,number_of_offers_accepted_in_full,7
4053143-10-06,TBB3,4153916-04-06,AU3TB0000093,4053616-11-14,settlement_proceeds,361146350
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,coupon,3.25
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,amount_repurchased,260000000
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,amount_of_offers,1326000000
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,weighted_average_repurchase_yield,1.73526923076923
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,lowest_accepted_yield,1.7325
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,highest_accepted_yield,1.7375
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,lowest_offer,1.6925
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,weighted_average_offer,1.72372171945701
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,secondary_market_mid_rate,1.73
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,number_of_offers,24
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,number_of_successful_offers,8
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,number_of_offers_accepted_in_full,5
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,settlement_proceeds,268128800
4066863-12-17,Syndication,4110390-02-10,AU3TB0000127,4068992-12-15,coupon,4.25
4066863-12-17,Syndication,4110390-02-10,AU3TB0000127,4068992-12-15,amount_repurchased,655000000
4066863-12-17,Syndication,4110390-02-10,AU3TB0000127,4068992-12-15,weighted_average_repurchase_yield,1.655
4066863-12-17,Syndication,4110390-02-10,AU3TB0000127,4068992-12-15,settlement_proceeds,663652711.2
4066863-12-17,Syndication,4153916-04-06,AU3TB0000093,4068992-12-15,coupon,5.5
4066863-12-17,Syndication,4153916-04-06,AU3TB0000093,4068992-12-15,amount_repurchased,2412250000
4066863-12-17,Syndication,4153916-04-06,AU3TB0000093,4068992-12-15,weighted_average_repurchase_yield,1.72
4066863-12-17,Syndication,4153916-04-06,AU3TB0000093,4068992-12-15,settlement_proceeds,2502974722.5
4068046-09-26,TBB4,4218495-10-27,AU3TB0000176,4068519-11-06,coupon,3.25
4068046-09-26,TBB4,4218495-10-27,AU3TB0000176,4068519-11-06,amount_repurchased,100000000
4068046-09-26,TBB4,4218495-10-27,AU3TB0000176,4068519-11-06,amount_of_offers,655000000
4068046-09-26,TBB4,4218495-10-27,AU3TB0000176,4068519-11-06,weighted_average_repurchase_yield,1.8275
4068046-09-26,TBB4,4218495-10-27,AU3TB0000176,4068519-11-06,lowest_accepted_yield,1.825
4068046-09-26,TBB4,4218495-10-27,AU3TB0000176,4068519-11-06,highest_accepted_yield,1.83
4068046-09-26,TBB4,4218495-10-27,AU3TB0000176,4068519-11-06,lowest_offer,1.8175
4068046-09-26,TBB4,4218495-10-27,AU3TB0000176,4068519-11-06,weighted_average_offer,1.82225190839695
4068046-09-26,TBB4,4218495-10-27,AU3TB0000176,4068519-11-06,secondary_market_mid_rate,1.8263
4068046-09-26,TBB4,4218495-10-27,AU3TB0000176,4068519-11-06,number_of_offers,15
4068046-09-26,TBB4,4218495-10-27,AU3TB0000176,4068519-11-06,number_of_successful_offers,5
4068046-09-26,TBB4,4218495-10-27,AU3TB0000176,4068519-11-06,number_of_offers_accepted_in_full,2
4068046-09-26,TBB4,4218495-10-27,AU3TB0000176,4068519-11-06,settlement_proceeds,103275250
4068046-09-26,TBB4,4252796-04-27,AU300TB01224,4068519-11-06,coupon,5.25
4068046-09-26,TBB4,4252796-04-27,AU300TB01224,4068519-11-06,amount_repurchased,400000000
4068046-09-26,TBB4,4252796-04-27,AU300TB01224,4068519-11-06,amount_of_offers,955000000
4068046-09-26,TBB4,4252796-04-27,AU300TB01224,4068519-11-06,weighted_average_repurchase_yield,1.899875
4068046-09-26,TBB4,4252796-04-27,AU300TB01224,4068519-11-06,lowest_accepted_yield,1.8975
4068046-09-26,TBB4,4252796-04-27,AU300TB01224,4068519-11-06,highest_accepted_yield,1.9025
4068046-09-26,TBB4,4252796-04-27,AU300TB01224,4068519-11-06,lowest_offer,1.8825
4068046-09-26,TBB4,4252796-04-27,AU300TB01224,4068519-11-06,weighted_average_offer,1.89428010471204
4068046-09-26,TBB4,4252796-04-27,AU300TB01224,4068519-11-06,secondary_market_mid_rate,1.8955
4068046-09-26,TBB4,4252796-04-27,AU300TB01224,4068519-11-06,number_of_offers,14
4068046-09-26,TBB4,4252796-04-27,AU300TB01224,4068519-11-06,number_of_successful_offers,4
4068046-09-26,TBB4,4252796-04-27,AU300TB01224,4068519-11-06,number_of_offers_accepted_in_full,3
4068046-09-26,TBB4,4252796-04-27,AU300TB01224,4068519-11-06,settlement_proceeds,435560950
4077982-01-20,TBB5,4218495-10-27,AU3TB0000176,4078455-03-01,coupon,3.25
4077982-01-20,TBB5,4218495-10-27,AU3TB0000176,4078455-03-01,amount_repurchased,269000000
4077982-01-20,TBB5,4218495-10-27,AU3TB0000176,4078455-03-01,amount_of_offers,780000000
4077982-01-20,TBB5,4218495-10-27,AU3TB0000176,4078455-03-01,weighted_average_repurchase_yield,1.75560408921933
4077982-01-20,TBB5,4218495-10-27,AU3TB0000176,4078455-03-01,lowest_accepted_yield,1.75
4077982-01-20,TBB5,4218495-10-27,AU3TB0000176,4078455-03-01,highest_accepted_yield,1.765
4077982-01-20,TBB5,4218495-10-27,AU3TB0000176,4078455-03-01,lowest_offer,1.74
4077982-01-20,TBB5,4218495-10-27,AU3TB0000176,4078455-03-01,weighted_average_offer,1.74896794871795
4077982-01-20,TBB5,4218495-10-27,AU3TB0000176,4078455-03-01,secondary_market_mid_rate,1.752
4077982-01-20,TBB5,4218495-10-27,AU3TB0000176,4078455-03-01,number_of_offers,17
4077982-01-20,TBB5,4218495-10-27,AU3TB0000176,4078455-03-01,number_of_successful_offers,11
4077982-01-20,TBB5,4218495-10-27,AU3TB0000176,4078455-03-01,number_of_offers_accepted_in_full,9
4077982-01-20,TBB5,4218495-10-27,AU3TB0000176,4078455-03-01,settlement_proceeds,278708100
4077982-01-20,TBB5,4252796-04-27,AU300TB01224,4078455-03-01,coupon,5.25
4077982-01-20,TBB5,4252796-04-27,AU300TB01224,4078455-03-01,amount_repurchased,331000000
4077982-01-20,TBB5,4252796-04-27,AU300TB01224,4078455-03-01,amount_of_offers,1473000000
4077982-01-20,TBB5,4252796-04-27,AU300TB01224,4078455-03-01,weighted_average_repurchase_yield,1.83749244712991
4077982-01-20,TBB5,4252796-04-27,AU300TB01224,4078455-03-01,lowest_accepted_yield,1.835
4077982-01-20,TBB5,4252796-04-27,AU300TB01224,4078455-03-01,highest_accepted_yield,1.84
4077982-01-20,TBB5,4252796-04-27,AU300TB01224,4078455-03-01,lowest_offer,1.8275
4077982-01-20,TBB5,4252796-04-27,AU300TB01224,4078455-03-01,weighted_average_offer,1.8319789545146
4077982-01-20,TBB5,4252796-04-27,AU300TB01224,4078455-03-01,secondary_market_mid_rate,1.8353
4077982-01-20,TBB5,4252796-04-27,AU300TB01224,4078455-03-01,number_of_offers,18
4077982-01-20,TBB5,4252796-04-27,AU300TB01224,4078455-03-01,number_of_successful_offers,9
4077982-01-20,TBB5,4252796-04-27,AU300TB01224,4078455-03-01,number_of_offers_accepted_in_full,5
4077982-01-20,TBB5,4252796-04-27,AU300TB01224,4078455-03-01,settlement_proceeds,352955280
4082949-09-17,TBB6,4218495-10-27,AU3TB0000176,4083422-10-28,coupon,3.25
4082949-09-17,TBB6,4218495-10-27,AU3TB0000176,4083422-10-28,amount_repurchased,265000000
4082949-09-17,TBB6,4218495-10-27,AU3TB0000176,4083422-10-28,amount_of_offers,825000000
4082949-09-17,TBB6,4218495-10-27,AU3TB0000176,4083422-10-28,weighted_average_repurchase_yield,1.64981132075472
4082949-09-17,TBB6,4218495-10-27,AU3TB0000176,4083422-10-28,lowest_accepted_yield,1.6475
4082949-09-17,TBB6,4218495-10-27,AU3TB0000176,4083422-10-28,highest_accepted_yield,1.65
4082949-09-17,TBB6,4218495-10-27,AU3TB0000176,4083422-10-28,lowest_offer,1.63
4082949-09-17,TBB6,4218495-10-27,AU3TB0000176,4083422-10-28,weighted_average_offer,1.64528787878788
4082949-09-17,TBB6,4218495-10-27,AU3TB0000176,4083422-10-28,secondary_market_mid_rate,1.6475
4082949-09-17,TBB6,4218495-10-27,AU3TB0000176,4083422-10-28,number_of_offers,18
4082949-09-17,TBB6,4218495-10-27,AU3TB0000176,4083422-10-28,number_of_successful_offers,8
4082949-09-17,TBB6,4218495-10-27,AU3TB0000176,4083422-10-28,number_of_offers_accepted_in_full,5
4082949-09-17,TBB6,4218495-10-27,AU3TB0000176,4083422-10-28,settlement_proceeds,275277500
4082949-09-17,TBB6,4252796-04-27,AU300TB01224,4083422-10-28,coupon,5.25
4082949-09-17,TBB6,4252796-04-27,AU300TB01224,4083422-10-28,amount_repurchased,235000000
4082949-09-17,TBB6,4252796-04-27,AU300TB01224,4083422-10-28,amount_of_offers,820000000
4082949-09-17,TBB6,4252796-04-27,AU300TB01224,4083422-10-28,weighted_average_repurchase_yield,1.72367021276596
4082949-09-17,TBB6,4252796-04-27,AU300TB01224,4083422-10-28,lowest_accepted_yield,1.72
4082949-09-17,TBB6,4252796-04-27,AU300TB01224,4083422-10-28,highest_accepted_yield,1.7275
4082949-09-17,TBB6,4252796-04-27,AU300TB01224,4083422-10-28,lowest_offer,1.71
4082949-09-17,TBB6,4252796-04-27,AU300TB01224,4083422-10-28,weighted_average_offer,1.71885670731707
4082949-09-17,TBB6,4252796-04-27,AU300TB01224,4083422-10-28,secondary_market_mid_rate,1.72
4082949-09-17,TBB6,4252796-04-27,AU300TB01224,4083422-10-28,number_of_offers,17
4082949-09-17,TBB6,4252796-04-27,AU300TB01224,4083422-10-28,number_of_successful_offers,9
4082949-09-17,TBB6,4252796-04-27,AU300TB01224,4083422-10-28,number_of_offers_accepted_in_full,6
4082949-09-17,TBB6,4252796-04-27,AU300TB01224,4083422-10-28,settlement_proceeds,251385750
4086261-06-26,TBB7,4218495-10-27,AU3TB0000176,4086734-08-06,coupon,3.25
4086261-06-26,TBB7,4218495-10-27,AU3TB0000176,4086734-08-06,amount_repurchased,193000000
4086261-06-26,TBB7,4218495-10-27,AU3TB0000176,4086734-08-06,amount_of_offers,490000000
4086261-06-26,TBB7,4218495-10-27,AU3TB0000176,4086734-08-06,weighted_average_repurchase_yield,1.61836787564767
4086261-06-26,TBB7,4218495-10-27,AU3TB0000176,4086734-08-06,lowest_accepted_yield,1.615
4086261-06-26,TBB7,4218495-10-27,AU3TB0000176,4086734-08-06,highest_accepted_yield,1.6225
4086261-06-26,TBB7,4218495-10-27,AU3TB0000176,4086734-08-06,lowest_offer,1.61
4086261-06-26,TBB7,4218495-10-27,AU3TB0000176,4086734-08-06,weighted_average_offer,1.61505102040816
4086261-06-26,TBB7,4218495-10-27,AU3TB0000176,4086734-08-06,secondary_market_mid_rate,1.6175
4086261-06-26,TBB7,4218495-10-27,AU3TB0000176,4086734-08-06,number_of_offers,16
4086261-06-26,TBB7,4218495-10-27,AU3TB0000176,4086734-08-06,number_of_successful_offers,11
4086261-06-26,TBB7,4218495-10-27,AU3TB0000176,4086734-08-06,number_of_offers_accepted_in_full,7
4086261-06-26,TBB7,4218495-10-27,AU3TB0000176,4086734-08-06,settlement_proceeds,200703910
4086261-06-26,TBB7,4252796-04-27,AU300TB01224,4086734-08-06,coupon,5.25
4086261-06-26,TBB7,4252796-04-27,AU300TB01224,4086734-08-06,amount_repurchased,207000000
4086261-06-26,TBB7,4252796-04-27,AU300TB01224,4086734-08-06,amount_of_offers,572000000
4086261-06-26,TBB7,4252796-04-27,AU300TB01224,4086734-08-06,weighted_average_repurchase_yield,1.68693236714976
4086261-06-26,TBB7,4252796-04-27,AU300TB01224,4086734-08-06,lowest_accepted_yield,1.685
4086261-06-26,TBB7,4252796-04-27,AU300TB01224,4086734-08-06,highest_accepted_yield,1.69
4086261-06-26,TBB7,4252796-04-27,AU300TB01224,4086734-08-06,lowest_offer,1.6825
4086261-06-26,TBB7,4252796-04-27,AU300TB01224,4086734-08-06,weighted_average_offer,1.68528409090909
4086261-06-26,TBB7,4252796-04-27,AU300TB01224,4086734-08-06,secondary_market_mid_rate,1.6858
4086261-06-26,TBB7,4252796-04-27,AU300TB01224,4086734-08-06,number_of_offers,17
4086261-06-26,TBB7,4252796-04-27,AU300TB01224,4086734-08-06,number_of_successful_offers,14
4086261-06-26,TBB7,4252796-04-27,AU300TB01224,4086734-08-06,number_of_offers_accepted_in_full,5
4086261-06-26,TBB7,4252796-04-27,AU300TB01224,4086734-08-06,settlement_proceeds,221728330
4091229-02-21,TBB8,4218495-10-27,AU3TB0000176,4091702-04-03,coupon,3.25
4091229-02-21,TBB8,4218495-10-27,AU3TB0000176,4091702-04-03,amount_repurchased,161000000
4091229-02-21,TBB8,4218495-10-27,AU3TB0000176,4091702-04-03,amount_of_offers,386000000
4091229-02-21,TBB8,4218495-10-27,AU3TB0000176,4091702-04-03,weighted_average_repurchase_yield,1.59698757763975
4091229-02-21,TBB8,4218495-10-27,AU3TB0000176,4091702-04-03,lowest_accepted_yield,1.5925
4091229-02-21,TBB8,4218495-10-27,AU3TB0000176,4091702-04-03,highest_accepted_yield,1.6025
4091229-02-21,TBB8,4218495-10-27,AU3TB0000176,4091702-04-03,lowest_offer,1.5775
4091229-02-21,TBB8,4218495-10-27,AU3TB0000176,4091702-04-03,weighted_average_offer,1.58825129533679
4091229-02-21,TBB8,4218495-10-27,AU3TB0000176,4091702-04-03,secondary_market_mid_rate,1.59
4091229-02-21,TBB8,4218495-10-27,AU3TB0000176,4091702-04-03,number_of_offers,11
4091229-02-21,TBB8,4218495-10-27,AU3TB0000176,4091702-04-03,number_of_successful_offers,5
4091229-02-21,TBB8,4218495-10-27,AU3TB0000176,4091702-04-03,number_of_offers_accepted_in_full,5
4091229-02-21,TBB8,4218495-10-27,AU3TB0000176,4091702-04-03,settlement_proceeds,165014910
4091229-02-21,TBB8,4252796-04-27,AU300TB01224,4091702-04-03,coupon,5.25
4091229-02-21,TBB8,4252796-04-27,AU300TB01224,4091702-04-03,amount_repurchased,139000000
4091229-02-21,TBB8,4252796-04-27,AU300TB01224,4091702-04-03,amount_of_offers,868000000
4091229-02-21,TBB8,4252796-04-27,AU300TB01224,4091702-04-03,weighted_average_repurchase_yield,1.64359712230216
4091229-02-21,TBB8,4252796-04-27,AU300TB01224,4091702-04-03,lowest_accepted_yield,1.64
4091229-02-21,TBB8,4252796-04-27,AU300TB01224,4091702-04-03,highest_accepted_yield,1.6475
4091229-02-21,TBB8,4252796-04-27,AU300TB01224,4091702-04-03,lowest_offer,1.6
4091229-02-21,TBB8,4252796-04-27,AU300TB01224,4091702-04-03,weighted_average_offer,1.63452764976959
4091229-02-21,TBB8,4252796-04-27,AU300TB01224,4091702-04-03,secondary_market_mid_rate,1.6388
4091229-02-21,TBB8,4252796-04-27,AU300TB01224,4091702-04-03,number_of_offers,18
4091229-02-21,TBB8,4252796-04-27,AU300TB01224,4091702-04-03,number_of_successful_offers,8
4091229-02-21,TBB8,4252796-04-27,AU300TB01224,4091702-04-03,number_of_offers_accepted_in_full,4
4091229-02-21,TBB8,4252796-04-27,AU300TB01224,4091702-04-03,settlement_proceeds,149148120
4097852-09-08,TBB9,4218495-10-27,AU3TB0000176,4098325-10-19,coupon,3.25
4097852-09-08,TBB9,4218495-10-27,AU3TB0000176,4098325-10-19,amount_repurchased,100000000
4097852-09-08,TBB9,4218495-10-27,AU3TB0000176,4098325-10-19,amount_of_offers,694000000
4097852-09-08,TBB9,4218495-10-27,AU3TB0000176,4098325-10-19,weighted_average_repurchase_yield,1.566
4097852-09-08,TBB9,4218495-10-27,AU3TB0000176,4098325-10-19,lowest_accepted_yield,1.565
4097852-09-08,TBB9,4218495-10-27,AU3TB0000176,4098325-10-19,highest_accepted_yield,1.57
4097852-09-08,TBB9,4218495-10-27,AU3TB0000176,4098325-10-19,lowest_offer,1.55
4097852-09-08,TBB9,4218495-10-27,AU3TB0000176,4098325-10-19,weighted_average_offer,1.55957853025937
4097852-09-08,TBB9,4218495-10-27,AU3TB0000176,4098325-10-19,secondary_market_mid_rate,1.5645
4097852-09-08,TBB9,4218495-10-27,AU3TB0000176,4098325-10-19,number_of_offers,14
4097852-09-08,TBB9,4218495-10-27,AU3TB0000176,4098325-10-19,number_of_successful_offers,4
4097852-09-08,TBB9,4218495-10-27,AU3TB0000176,4098325-10-19,number_of_offers_accepted_in_full,1
4097852-09-08,TBB9,4218495-10-27,AU3TB0000176,4098325-10-19,settlement_proceeds,102661600
4097852-09-08,TBB9,4252796-04-27,AU300TB01224,4098325-10-19,coupon,5.25
4097852-09-08,TBB9,4252796-04-27,AU300TB01224,4098325-10-19,amount_repurchased,400000000
4097852-09-08,TBB9,4252796-04-27,AU300TB01224,4098325-10-19,amount_of_offers,801000000
4097852-09-08,TBB9,4252796-04-27,AU300TB01224,4098325-10-19,weighted_average_repurchase_yield,1.57751875
4097852-09-08,TBB9,4252796-04-27,AU300TB01224,4098325-10-19,lowest_accepted_yield,1.575
4097852-09-08,TBB9,4252796-04-27,AU300TB01224,4098325-10-19,highest_accepted_yield,1.5825
4097852-09-08,TBB9,4252796-04-27,AU300TB01224,4098325-10-19,lowest_offer,1.57
4097852-09-08,TBB9,4252796-04-27,AU300TB01224,4098325-10-19,weighted_average_offer,1.57483458177278
4097852-09-08,TBB9,4252796-04-27,AU300TB01224,4098325-10-19,secondary_market_mid_rate,1.5713
4097852-09-08,TBB9,4252796-04-27,AU300TB01224,4098325-10-19,number_of_offers,17
4097852-09-08,TBB9,4252796-04-27,AU300TB01224,4098325-10-19,number_of_successful_offers,10
4097852-09-08,TBB9,4252796-04-27,AU300TB01224,4098325-10-19,number_of_offers_accepted_in_full,5
4097852-09-08,TBB9,4252796-04-27,AU300TB01224,4098325-10-19,settlement_proceeds,430221140
4099508-07-29,TBB10,4153916-04-06,AU3TB0000093,4099981-09-07,coupon,5.5
4099508-07-29,TBB10,4153916-04-06,AU3TB0000093,4099981-09-07,amount_repurchased,145000000
4099508-07-29,TBB10,4153916-04-06,AU3TB0000093,4099981-09-07,amount_of_offers,723000000
4099508-07-29,TBB10,4153916-04-06,AU3TB0000093,4099981-09-07,weighted_average_repurchase_yield,1.5556724137931
4099508-07-29,TBB10,4153916-04-06,AU3TB0000093,4099981-09-07,lowest_accepted_yield,1.5525
4099508-07-29,TBB10,4153916-04-06,AU3TB0000093,4099981-09-07,highest_accepted_yield,1.5625
4099508-07-29,TBB10,4153916-04-06,AU3TB0000093,4099981-09-07,lowest_offer,1.5325
4099508-07-29,TBB10,4153916-04-06,AU3TB0000093,4099981-09-07,weighted_average_offer,1.54802213001383
4099508-07-29,TBB10,4153916-04-06,AU3TB0000093,4099981-09-07,secondary_market_mid_rate,1.5525
4099508-07-29,TBB10,4153916-04-06,AU3TB0000093,4099981-09-07,number_of_offers,17
4099508-07-29,TBB10,4153916-04-06,AU3TB0000093,4099981-09-07,number_of_successful_offers,4
4099508-07-29,TBB10,4153916-04-06,AU3TB0000093,4099981-09-07,number_of_offers_accepted_in_full,1
4099508-07-29,TBB10,4153916-04-06,AU3TB0000093,4099981-09-07,settlement_proceeds,151539640
