date_held,tender_number,maturity,isin,date_settled,name,value
2009-03-13,02/09,2009-09-12,AU2CLTN11098,2009-03-14,lowest_accepted_yield,2.6
2009-03-13,02/09,2009-09-12,AU2CLTN11098,2009-03-14,highest_accepted_yield,2.71
2009-03-13,02/09,2009-09-12,AU2CLTN11098,2009-03-14,highest_bid_yield,2.97
2009-03-13,02/09,2009-09-12,AU2CLTN11098,2009-03-14,weighted_average_bid,2.8235
2009-03-13,02/09,2009-09-12,AU2CLTN11098,2009-03-14,number_of_bids,42
2009-03-13,02/09,2009-09-12,AU2CLTN11098,2009-03-14,number_of_successful_bids,10
2009-03-13,02/09,2009-09-12,AU2CLTN11098,2009-03-14,number_of_bids_accepted_in_full,7
2009-03-13,02/09,2009-09-12,AU2CLTN11098,2009-03-14,settlement_proceeds,493415021
2009-03-20,03/09,2009-06-20,AU2CLTN19067,2009-03-21,amount_offered,300000000
2009-03-20,03/09,2009-06-20,AU2CLTN19067,2009-03-21,amount_allotted,300000000
2009-03-20,03/09,2009-06-20,AU2CLTN19067,2009-03-21,amount_of_bids,2624000000
2009-03-20,03/09,2009-06-20,AU2CLTN19067,2009-03-21,coverage_ratio,8.8
2009-03-20,03/09,2009-06-20,AU2CLTN19067,2009-03-21,weighted_average_issue_yield,2.6643
2009-03-20,03/09,2009-06-20,AU2CLTN19067,2009-03-21,lowest_accepted_yield,2.61
2009-03-20,03/09,2009-06-20,AU2CLTN19067,2009-03-21,highest_accepted_yield,2.71
2009-03-20,03/09,2009-06-20,AU2CLTN19067,2009-03-21,highest_bid_yield,2.95
2009-03-20,03/09,2009-06-20,AU2CLTN19067,2009-03-21,weighted_average_bid,2.8262
2009-03-20,03/09,2009-06-20,AU2CLTN19067,2009-03-21,number_of_bids,27
2009-03-20,03/09,2009-06-20,AU2CLTN19067,2009-03-21,number_of_successful_bids,6
2009-03-20,03/09,2009-06-20,AU2CLTN19067,2009-03-21,number_of_bids_accepted_in_full,4
2009-03-20,03/09,2009-06-20,AU2CLTN19067,2009-03-21,settlement_proceeds,298020376
2009-03-20,03/09,2009-09-19,AU2CLTN18093,2009-03-21,amount_offered,300000000
2009-03-20,03/09,2009-09-19,AU2CLTN18093,2009-03-21,amount_allotted,300000000
2009-03-20,03/09,2009-09-19,AU2CLTN18093,2009-03-21,amount_of_bids,2082000000
2009-03-20,03/09,2009-09-19,AU2CLTN18093,2009-03-21,coverage_ratio,6.9
2009-03-20,03/09,2009-09-19,AU2CLTN18093,2009-03-21,weighted_average_issue_yield,2.5955
2009-03-20,03/09,2009-09-19,AU2CLTN18093,2009-03-21,lowest_accepted_yield,2.5
2009-03-20,03/09,2009-09-19,AU2CLTN18093,2009-03-21,highest_accepted_yield,2.62
2009-03-20,03/09,2009-09-19,AU2CLTN18093,2009-03-21,highest_bid_yield,2.85
2009-03-20,03/09,2009-09-19,AU2CLTN18093,2009-03-21,weighted_average_bid,2.7523
2009-03-20,03/09,2009-09-19,AU2CLTN18093,2009-03-21,number_of_bids,16
2009-03-20,03/09,2009-09-19,AU2CLTN18093,2009-03-21,number_of_successful_bids,4
2009-03-20,03/09,2009-09-19,AU2CLTN18093,2009-03-21,number_of_bids_accepted_in_full,2
2009-03-20,03/09,2009-09-19,AU2CLTN18093,2009-03-21,settlement_proceeds,296166990
2009-03-27,04/09,2009-06-27,AU2CLTN26062,2009-03-28,amount_offered,300000000
2009-03-27,04/09,2009-06-27,AU2CLTN26062,2009-03-28,amount_allotted,300000000
2009-03-27,04/09,2009-06-27,AU2CLTN26062,2009-03-28,amount_of_bids,1982000000
2009-03-27,04/09,2009-06-27,AU2CLTN26062,2009-03-28,coverage_ratio,6.61
2009-03-27,04/09,2009-06-27,AU2CLTN26062,2009-03-28,weighted_average_issue_yield,2.856
2009-03-27,04/09,2009-06-27,AU2CLTN26062,2009-03-28,lowest_accepted_yield,2.8
2009-03-27,04/09,2009-06-27,AU2CLTN26062,2009-03-28,highest_accepted_yield,2.88
2009-03-27,04/09,2009-06-27,AU2CLTN26062,2009-03-28,highest_bid_yield,3.18
2009-03-27,04/09,2009-06-27,AU2CLTN26062,2009-03-28,weighted_average_bid,2.9711
2009-03-27,04/09,2009-06-27,AU2CLTN26062,2009-03-28,number_of_bids,23
2009-03-27,04/09,2009-06-27,AU2CLTN26062,2009-03-28,number_of_successful_bids,10
2009-03-27,04/09,2009-06-27,AU2CLTN26062,2009-03-28,number_of_bids_accepted_in_full,6
2009-03-27,04/09,2009-06-27,AU2CLTN26062,2009-03-28,settlement_proceeds,297878947
2009-03-27,04/09,2009-09-26,AU2CLTN25098,2009-03-28,amount_offered,300000000
2009-03-27,04/09,2009-09-26,AU2CLTN25098,2009-03-28,amount_allotted,300000000
2009-03-27,04/09,2009-09-26,AU2CLTN25098,2009-03-28,amount_of_bids,1730000000
2009-03-27,04/09,2009-09-26,AU2CLTN25098,2009-03-28,coverage_ratio,5.77
2009-03-27,04/09,2009-09-26,AU2CLTN25098,2009-03-28,weighted_average_issue_yield,2.8192
2009-03-27,04/09,2009-09-26,AU2CLTN25098,2009-03-28,lowest_accepted_yield,2.78
2009-03-27,04/09,2009-09-26,AU2CLTN25098,2009-03-28,highest_accepted_yield,2.84
2009-03-27,04/09,2009-09-26,AU2CLTN25098,2009-03-28,highest_bid_yield,3.03
2009-03-27,04/09,2009-09-26,AU2CLTN25098,2009-03-28,weighted_average_bid,2.9211
2009-03-27,04/09,2009-09-26,AU2CLTN25098,2009-03-28,number_of_bids,16
2009-03-27,04/09,2009-09-26,AU2CLTN25098,2009-03-28,number_of_successful_bids,5
2009-03-27,04/09,2009-09-26,AU2CLTN25098,2009-03-28,number_of_bids_accepted_in_full,4
2009-03-27,04/09,2009-09-26,AU2CLTN25098,2009-03-28,settlement_proceeds,295841298
2009-04-03,05/09,2009-07-04,AU2CLTN03079,2009-04-04,amount_offered,300000000
2009-04-03,05/09,2009-07-04,AU2CLTN03079,2009-04-04,amount_allotted,300000000
2009-04-03,05/09,2009-07-04,AU2CLTN03079,2009-04-04,amount_of_bids,1514000000
2009-04-03,05/09,2009-07-04,AU2CLTN03079,2009-04-04,coverage_ratio,5.05
2009-04-03,05/09,2009-07-04,AU2CLTN03079,2009-04-04,weighted_average_issue_yield,2.7797
2009-04-03,05/09,2009-07-04,AU2CLTN03079,2009-04-04,lowest_accepted_yield,2.77
2009-04-03,05/09,2009-07-04,AU2CLTN03079,2009-04-04,highest_accepted_yield,2.79
2009-04-03,05/09,2009-07-04,AU2CLTN03079,2009-04-04,highest_bid_yield,3.1
2009-04-03,05/09,2009-07-04,AU2CLTN03079,2009-04-04,weighted_average_bid,2.89
2009-04-03,05/09,2009-07-04,AU2CLTN03079,2009-04-04,number_of_bids,22
2009-04-03,05/09,2009-07-04,AU2CLTN03079,2009-04-04,number_of_successful_bids,4
2009-04-03,05/09,2009-07-04,AU2CLTN03079,2009-04-04,number_of_bids_accepted_in_full,2
2009-04-03,05/09,2009-07-04,AU2CLTN03079,2009-04-04,settlement_proceeds,297935271
2009-04-03,05/09,2009-10-03,AU2CLTN02105,2009-04-04,amount_offered,300000000
2009-04-03,05/09,2009-10-03,AU2CLTN02105,2009-04-04,amount_allotted,300000000
2009-04-03,05/09,2009-10-03,AU2CLTN02105,2009-04-04,amount_of_bids,1380000000
2009-04-03,05/09,2009-10-03,AU2CLTN02105,2009-04-04,coverage_ratio,4.6
2009-04-03,05/09,2009-10-03,AU2CLTN02105,2009-04-04,weighted_average_issue_yield,2.7052
2009-04-03,05/09,2009-10-03,AU2CLTN02105,2009-04-04,lowest_accepted_yield,2.69
2009-04-03,05/09,2009-10-03,AU2CLTN02105,2009-04-04,highest_accepted_yield,2.73
2009-04-03,05/09,2009-10-03,AU2CLTN02105,2009-04-04,highest_bid_yield,3.05
2009-04-03,05/09,2009-10-03,AU2CLTN02105,2009-04-04,weighted_average_bid,2.8163
2009-04-03,05/09,2009-10-03,AU2CLTN02105,2009-04-04,number_of_bids,19
2009-04-03,05/09,2009-10-03,AU2CLTN02105,2009-04-04,number_of_successful_bids,6
2009-04-03,05/09,2009-10-03,AU2CLTN02105,2009-04-04,number_of_bids_accepted_in_full,5
2009-04-03,05/09,2009-10-03,AU2CLTN02105,2009-04-04,settlement_proceeds,296007226
2009-04-17,06/09,2009-07-18,AU2CLTN17079,2009-04-18,amount_offered,300000000
2009-04-17,06/09,2009-07-18,AU2CLTN17079,2009-04-18,amount_allotted,300000000
2009-04-17,06/09,2009-07-18,AU2CLTN17079,2009-04-18,amount_of_bids,1084000000
2009-04-17,06/09,2009-07-18,AU2CLTN17079,2009-04-18,coverage_ratio,3.61
2009-04-17,06/09,2009-07-18,AU2CLTN17079,2009-04-18,weighted_average_issue_yield,2.7383
2009-04-17,06/09,2009-07-18,AU2CLTN17079,2009-04-18,lowest_accepted_yield,2.73
2009-04-17,06/09,2009-07-18,AU2CLTN17079,2009-04-18,highest_accepted_yield,2.75
2009-04-17,06/09,2009-07-18,AU2CLTN17079,2009-04-18,highest_bid_yield,3.05
2009-04-17,06/09,2009-07-18,AU2CLTN17079,2009-04-18,weighted_average_bid,2.8487
2009-04-17,06/09,2009-07-18,AU2CLTN17079,2009-04-18,number_of_bids,19
2009-04-17,06/09,2009-07-18,AU2CLTN17079,2009-04-18,number_of_successful_bids,4
2009-04-17,06/09,2009-07-18,AU2CLTN17079,2009-04-18,number_of_bids_accepted_in_full,2
2009-04-17,06/09,2009-07-18,AU2CLTN17079,2009-04-18,settlement_proceeds,297965765
2009-04-17,06/09,2009-10-17,AU2CLTN16105,2009-04-18,amount_offered,300000000
2009-04-17,06/09,2009-10-17,AU2CLTN16105,2009-04-18,amount_allotted,300000000
2009-04-17,06/09,2009-10-17,AU2CLTN16105,2009-04-18,amount_of_bids,857000000
2009-04-17,06/09,2009-10-17,AU2CLTN16105,2009-04-18,coverage_ratio,2.86
2009-04-17,06/09,2009-10-17,AU2CLTN16105,2009-04-18,weighted_average_issue_yield,2.64
2009-04-17,06/09,2009-10-17,AU2CLTN16105,2009-04-18,lowest_accepted_yield,2.63
2009-04-17,06/09,2009-10-17,AU2CLTN16105,2009-04-18,highest_accepted_yield,2.65
2009-04-17,06/09,2009-10-17,AU2CLTN16105,2009-04-18,highest_bid_yield,3.05
2009-04-17,06/09,2009-10-17,AU2CLTN16105,2009-04-18,weighted_average_bid,2.7893
2009-04-17,06/09,2009-10-17,AU2CLTN16105,2009-04-18,number_of_bids,12
2009-04-17,06/09,2009-10-17,AU2CLTN16105,2009-04-18,number_of_successful_bids,2
2009-04-17,06/09,2009-10-17,AU2CLTN16105,2009-04-18,number_of_bids_accepted_in_full,2
2009-04-17,06/09,2009-10-17,AU2CLTN16105,2009-04-18,settlement_proceeds,296102161
2009-04-17,06/09,2010-01-16,AU2CLTN15016,2009-04-18,amount_offered,300000000
2009-04-17,06/09,2010-01-16,AU2CLTN15016,2009-04-18,amount_allotted,300000000
2009-04-17,06/09,2010-01-16,AU2CLTN15016,2009-04-18,amount_of_bids,400000000
2009-04-17,06/09,2010-01-16,AU2CLTN15016,2009-04-18,coverage_ratio,1.33
2009-04-17,06/09,2010-01-16,AU2CLTN15016,2009-04-18,weighted_average_issue_yield,2.8375
2009-04-17,06/09,2010-01-16,AU2CLTN15016,2009-04-18,lowest_accepted_yield,2.75
2009-04-17,06/09,2010-01-16,AU2CLTN15016,2009-04-18,highest_accepted_yield,2.85
2009-04-17,06/09,2010-01-16,AU2CLTN15016,2009-04-18,highest_bid_yield,2.85
2009-04-17,06/09,2010-01-16,AU2CLTN15016,2009-04-18,weighted_average_bid,2.8406
2009-04-17,06/09,2010-01-16,AU2CLTN15016,2009-04-18,number_of_bids,4
2009-04-17,06/09,2010-01-16,AU2CLTN15016,2009-04-18,number_of_successful_bids,4
2009-04-17,06/09,2010-01-16,AU2CLTN15016,2009-04-18,number_of_bids_accepted_in_full,2
2009-04-17,06/09,2010-01-16,AU2CLTN15016,2009-04-18,settlement_proceeds,293765446
2009-04-24,07/09,2009-07-25,AU2CLTN24075,2009-04-25,amount_offered,600000000
2009-04-24,07/09,2009-07-25,AU2CLTN24075,2009-04-25,amount_allotted,600000000
2009-04-24,07/09,2009-07-25,AU2CLTN24075,2009-04-25,amount_of_bids,2506000000
2009-04-24,07/09,2009-07-25,AU2CLTN24075,2009-04-25,coverage_ratio,4.2
2009-04-24,07/09,2009-07-25,AU2CLTN24075,2009-04-25,weighted_average_issue_yield,2.758
2009-04-24,07/09,2009-07-25,AU2CLTN24075,2009-04-25,lowest_accepted_yield,2.75
2009-04-24,07/09,2009-07-25,AU2CLTN24075,2009-04-25,highest_accepted_yield,2.77
2009-04-24,07/09,2009-07-25,AU2CLTN24075,2009-04-25,highest_bid_yield,3
2009-04-24,07/09,2009-07-25,AU2CLTN24075,2009-04-25,weighted_average_bid,2.8858
2009-04-24,07/09,2009-07-25,AU2CLTN24075,2009-04-25,number_of_bids,21
2009-04-24,07/09,2009-07-25,AU2CLTN24075,2009-04-25,number_of_successful_bids,7
2009-04-24,07/09,2009-07-25,AU2CLTN24075,2009-04-25,number_of_bids_accepted_in_full,5
2009-04-24,07/09,2009-07-25,AU2CLTN24075,2009-04-25,settlement_proceeds,595902460
2009-04-24,07/09,2009-10-24,AU2CLTN23101,2009-04-25,amount_offered,600000000
2009-04-24,07/09,2009-10-24,AU2CLTN23101,2009-04-25,amount_allotted,600000000
2009-04-24,07/09,2009-10-24,AU2CLTN23101,2009-04-25,amount_of_bids,1752000000
2009-04-24,07/09,2009-10-24,AU2CLTN23101,2009-04-25,coverage_ratio,2.9
2009-04-24,07/09,2009-10-24,AU2CLTN23101,2009-04-25,weighted_average_issue_yield,2.7588
2009-04-24,07/09,2009-10-24,AU2CLTN23101,2009-04-25,lowest_accepted_yield,2.74
2009-04-24,07/09,2009-10-24,AU2CLTN23101,2009-04-25,highest_accepted_yield,2.78
2009-04-24,07/09,2009-10-24,AU2CLTN23101,2009-04-25,highest_bid_yield,2.95
2009-04-24,07/09,2009-10-24,AU2CLTN23101,2009-04-25,weighted_average_bid,2.8487
2009-04-24,07/09,2009-10-24,AU2CLTN23101,2009-04-25,number_of_bids,9
2009-04-24,07/09,2009-10-24,AU2CLTN23101,2009-04-25,number_of_successful_bids,5
2009-04-24,07/09,2009-10-24,AU2CLTN23101,2009-04-25,number_of_bids_accepted_in_full,3
2009-04-24,07/09,2009-10-24,AU2CLTN23101,2009-04-25,settlement_proceeds,591858424
2009-04-24,07/09,2010-01-23,AU2CLTN22012,2009-04-25,amount_offered,300000000
2009-04-24,07/09,2010-01-23,AU2CLTN22012,2009-04-25,amount_allotted,300000000
2009-04-24,07/09,2010-01-23,AU2CLTN22012,2009-04-25,amount_of_bids,1645000000
2009-04-24,07/09,2010-01-23,AU2CLTN22012,2009-04-25,coverage_ratio,5.5
2009-04-24,07/09,2010-01-23,AU2CLTN22012,2009-04-25,weighted_average_issue_yield,2.83
2009-04-24,07/09,2010-01-23,AU2CLTN22012,2009-04-25,lowest_accepted_yield,2.8
2009-04-24,07/09,2010-01-23,AU2CLTN22012,2009-04-25,highest_accepted_yield,2.84
2009-04-24,07/09,2010-01-23,AU2CLTN22012,2009-04-25,highest_bid_yield,3
2009-04-24,07/09,2010-01-23,AU2CLTN22012,2009-04-25,weighted_average_bid,2.8817
2009-04-24,07/09,2010-01-23,AU2CLTN22012,2009-04-25,number_of_bids,14
2009-04-24,07/09,2010-01-23,AU2CLTN22012,2009-04-25,number_of_successful_bids,4
2009-04-24,07/09,2010-01-23,AU2CLTN22012,2009-04-25,number_of_bids_accepted_in_full,2
2009-04-24,07/09,2010-01-23,AU2CLTN22012,2009-04-25,settlement_proceeds,293781573
2009-05-01,08/09,2009-08-01,AU2CLTN31070,2009-05-02,amount_offered,600000000
2009-05-01,08/09,2009-08-01,AU2CLTN31070,2009-05-02,amount_allotted,600000000
2009-05-01,08/09,2009-08-01,AU2CLTN31070,2009-05-02,amount_of_bids,2093000000
2009-05-01,08/09,2009-08-01,AU2CLTN31070,2009-05-02,coverage_ratio,3.5
2009-05-01,08/09,2009-08-01,AU2CLTN31070,2009-05-02,weighted_average_issue_yield,2.7574
2009-05-01,08/09,2009-08-01,AU2CLTN31070,2009-05-02,lowest_accepted_yield,2.75
2009-05-01,08/09,2009-08-01,AU2CLTN31070,2009-05-02,highest_accepted_yield,2.77
2009-05-01,08/09,2009-08-01,AU2CLTN31070,2009-05-02,highest_bid_yield,2.98
2009-05-01,08/09,2009-08-01,AU2CLTN31070,2009-05-02,weighted_average_bid,2.8424
2009-05-01,08/09,2009-08-01,AU2CLTN31070,2009-05-02,number_of_bids,20
2009-05-01,08/09,2009-08-01,AU2CLTN31070,2009-05-02,number_of_successful_bids,6
2009-05-01,08/09,2009-08-01,AU2CLTN31070,2009-05-02,number_of_bids_accepted_in_full,4
2009-05-01,08/09,2009-08-01,AU2CLTN31070,2009-05-02,settlement_proceeds,595903444
2009-05-01,08/09,2009-10-31,AU2CLTN30106,2009-05-02,amount_offered,600000000
2009-05-01,08/09,2009-10-31,AU2CLTN30106,2009-05-02,amount_allotted,600000000
2009-05-01,08/09,2009-10-31,AU2CLTN30106,2009-05-02,amount_of_bids,2505000000
2009-05-01,08/09,2009-10-31,AU2CLTN30106,2009-05-02,coverage_ratio,4.2
2009-05-01,08/09,2009-10-31,AU2CLTN30106,2009-05-02,weighted_average_issue_yield,2.7271
2009-05-01,08/09,2009-10-31,AU2CLTN30106,2009-05-02,lowest_accepted_yield,2.68
2009-05-01,08/09,2009-10-31,AU2CLTN30106,2009-05-02,highest_accepted_yield,2.78
2009-05-01,08/09,2009-10-31,AU2CLTN30106,2009-05-02,highest_bid_yield,3
2009-05-01,08/09,2009-10-31,AU2CLTN30106,2009-05-02,weighted_average_bid,2.8596
2009-05-01,08/09,2009-10-31,AU2CLTN30106,2009-05-02,number_of_bids,16
2009-05-01,08/09,2009-10-31,AU2CLTN30106,2009-05-02,number_of_successful_bids,5
2009-05-01,08/09,2009-10-31,AU2CLTN30106,2009-05-02,number_of_bids_accepted_in_full,4
2009-05-01,08/09,2009-10-31,AU2CLTN30106,2009-05-02,settlement_proceeds,591950642
2009-05-01,08/09,2010-01-30,AU2CLTN29017,2009-05-02,amount_offered,300000000
2009-05-01,08/09,2010-01-30,AU2CLTN29017,2009-05-02,amount_allotted,300000000
2009-05-01,08/09,2010-01-30,AU2CLTN29017,2009-05-02,amount_of_bids,1425000000
2009-05-01,08/09,2010-01-30,AU2CLTN29017,2009-05-02,coverage_ratio,4.8
2009-05-01,08/09,2010-01-30,AU2CLTN29017,2009-05-02,weighted_average_issue_yield,2.7683
2009-05-01,08/09,2010-01-30,AU2CLTN29017,2009-05-02,lowest_accepted_yield,2.74
2009-05-01,08/09,2010-01-30,AU2CLTN29017,2009-05-02,highest_accepted_yield,2.85
2009-05-01,08/09,2010-01-30,AU2CLTN29017,2009-05-02,highest_bid_yield,2.9
2009-05-01,08/09,2010-01-30,AU2CLTN29017,2009-05-02,weighted_average_bid,2.8535
2009-05-01,08/09,2010-01-30,AU2CLTN29017,2009-05-02,number_of_bids,13
2009-05-01,08/09,2010-01-30,AU2CLTN29017,2009-05-02,number_of_successful_bids,5
2009-05-01,08/09,2010-01-30,AU2CLTN29017,2009-05-02,number_of_bids_accepted_in_full,2
2009-05-01,08/09,2010-01-30,AU2CLTN29017,2009-05-02,settlement_proceeds,293914351
2009-05-08,09/09,2009-08-08,AU2CLTN07088,2009-05-09,amount_offered,600000000
2009-05-08,09/09,2009-08-08,AU2CLTN07088,2009-05-09,amount_allotted,600000000
2009-05-08,09/09,2009-08-08,AU2CLTN07088,2009-05-09,amount_of_bids,1284000000
2009-05-08,09/09,2009-08-08,AU2CLTN07088,2009-05-09,coverage_ratio,2.1
2009-05-08,09/09,2009-08-08,AU2CLTN07088,2009-05-09,weighted_average_issue_yield,2.84
2009-05-08,09/09,2009-08-08,AU2CLTN07088,2009-05-09,lowest_accepted_yield,2.79
2009-05-08,09/09,2009-08-08,AU2CLTN07088,2009-05-09,highest_accepted_yield,2.99
2009-05-08,09/09,2009-08-08,AU2CLTN07088,2009-05-09,highest_bid_yield,3
2009-05-08,09/09,2009-08-08,AU2CLTN07088,2009-05-09,weighted_average_bid,2.9212
2009-05-08,09/09,2009-08-08,AU2CLTN07088,2009-05-09,number_of_bids,15
2009-05-08,09/09,2009-08-08,AU2CLTN07088,2009-05-09,number_of_successful_bids,13
2009-05-08,09/09,2009-08-08,AU2CLTN07088,2009-05-09,number_of_bids_accepted_in_full,12
2009-05-08,09/09,2009-08-08,AU2CLTN07088,2009-05-09,settlement_proceeds,595781061
2009-05-08,09/09,2009-11-07,AU2CLTN06114,2009-05-09,amount_offered,600000000
2009-05-08,09/09,2009-11-07,AU2CLTN06114,2009-05-09,amount_allotted,600000000
2009-05-08,09/09,2009-11-07,AU2CLTN06114,2009-05-09,amount_of_bids,1720000000
2009-05-08,09/09,2009-11-07,AU2CLTN06114,2009-05-09,coverage_ratio,2.9
2009-05-08,09/09,2009-11-07,AU2CLTN06114,2009-05-09,weighted_average_issue_yield,2.921
2009-05-08,09/09,2009-11-07,AU2CLTN06114,2009-05-09,lowest_accepted_yield,2.77
