Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,Coupon (%),date,value
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-12-31,-923414
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-01-31,-908728
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-02-28,-889707
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-03-31,-872222
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-04-30,-849626
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-05-31,-833541
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-06-30,-820832
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-07-31,-807951
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-08-31,-798048
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-09-30,-786351
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-10-31,-767197
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-11-30,-748799
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-12-31,-730089
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-01-31,-714872
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-02-28,-703779
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-03-31,-684226
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-04-30,-665332
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-05-31,-645530
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-06-30,-627712
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-07-31,-614315
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-08-31,-603032
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-09-30,-586490
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-10-31,-570252
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-11-30,-558178
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-12-31,-538109
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-01-31,-524445
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-02-29,-508982
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-03-31,-499021
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-04-30,-485389
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-05-31,-468218
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-06-30,-454337
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-07-31,-442302
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-08-31,-430124
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-09-30,-416390
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-10-31,-399875
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-11-30,-383156
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-12-31,-365562
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-01-31,-350507
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-02-28,-330598
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-03-31,-311631
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-04-30,-292848
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-05-31,-274140
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-06-30,-254716
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-07-31,-236191
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-08-31,-218451
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-09-30,-200355
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-10-31,-92468
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-11-30,-82818
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-12-31,-73369
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2010-01-31,-64280
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2010-02-28,-55626
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2010-03-31,-44994
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2010-04-30,-35286
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2010-05-31,-25376
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2010-06-30,-15894
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2010-07-31,-6372
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2003-06-30,-2873340
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2003-07-31,-2754274
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2003-08-31,-2712875
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2003-09-30,-2723614
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2003-10-31,-2665529
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2003-11-30,-2607752
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2003-12-31,-2658582
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-01-31,-2623860
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-02-29,-2673346
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-03-31,-2709203
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-04-30,-2624334
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-05-31,-2648936
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-06-30,-2635568
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-07-31,-2624830
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-08-31,-2697193
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-09-30,-2738574
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-10-31,-2716663
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-11-30,-2741252
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-12-31,-2707653
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-01-31,-2693336
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-02-28,-2655395
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-03-31,-2655166
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-04-30,-2667161
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-05-31,-2680466
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-06-30,-2658939
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-07-31,-2663423
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-08-31,-2692163
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-09-30,-2629002
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-10-31,-2609882
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-11-30,-2622029
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-12-31,-2668851
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-01-31,-2657438
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-02-28,-2612874
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-03-31,-2604656
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-04-30,-2530943
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-05-31,-2508427
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-06-30,-2507470
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-07-31,-2501094
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-08-31,-2513536
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-09-30,-2514806
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-10-31,-2478153
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-11-30,-2428615
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-12-31,-2372193
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-01-31,-2350899
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-02-28,-2388591
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-03-31,-2348051
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-04-30,-2307638
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-05-31,-2276185
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-06-30,-2238101
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-07-31,-2226834
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-08-31,-2238791
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-09-30,-2200571
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-10-31,-2184047
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-11-30,-2181905
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-12-31,-2127995
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-01-31,-2135715
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-02-29,-2125456
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-03-31,-2109213
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-04-30,-2103037
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-05-31,-2072381
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-06-30,-2057182
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-07-31,-2064778
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-08-31,-2107536
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-09-30,-2126713
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-10-31,-2027982
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-11-30,-2002323
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-12-31,-2009576
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-01-31,-2024995
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-02-28,-2003771
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-03-31,-1973462
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-04-30,-1911591
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-05-31,-1833925
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-06-30,-1819005
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-07-31,-1784840
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-08-31,-1774089
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-09-30,-1756733
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-10-31,-1754221
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-11-30,-1751483
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-12-31,-1721658
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-01-31,-1722950
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-02-28,-1952909
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-03-31,-1909590
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-04-30,-2126696
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-05-31,-2130798
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-06-30,-2359612
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-07-31,-2301788
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-08-31,-2299193
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-09-30,-2254570
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-10-31,-2213680
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-11-30,-2163645
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-12-31,-2119230
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-01-31,-2115640
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-02-28,-2085851
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-03-31,-2056694
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-04-30,-2028697
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-05-31,-2006791
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-06-30,-2096741
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-07-31,-2105968
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-08-31,-2092153
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-09-30,-2057224
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-10-31,-2000180
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-11-30,-2005745
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-12-31,-1973416
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-01-31,-1926615
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-02-29,-1871915
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-03-31,-1829639
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-04-30,-1790165
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-05-31,-1787403
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-06-30,-1726452
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-07-31,-1681941
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-08-31,-1636155
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-09-30,-1603856
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-10-31,-1559016
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-11-30,-1508327
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-12-31,-1460231
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-01-31,-1411911
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-02-28,-1372368
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-03-31,-1324096
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-04-30,-1273133
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-05-31,-1222753
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-06-30,-1174819
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-07-31,-1129005
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-08-31,-1083588
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-09-30,-1036599
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-10-31,-993232
